run_id,task_id,condition,model,bucket,mech_class,mech_detail,declared_auto
M1_C1_KP5_T3_B_r07,KP5_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP5_T3_can_r07,KP5_T3,C2,M1,numeric_wrong,CV,sign_flip,Y
M3_C2_KP4_T3_can_r07,KP4_T3,C2,M3,defensible,CV,declared_alt:vega_approximation,N
M2_C3_KP5_T2_B_r07,KP5_T2,C3,M2,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP5_T2_B_r07,KP5_T2,C3,M3,numeric_wrong,UNMATCHED,unmatched,N
M1_C2_KP6_T1_can_r07,KP6_T1,C2,M1,numeric_wrong,CV,rf_geometric,Y
M1_C1_KP6_T1_B_r07,KP6_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP6_T1_B_r07,KP6_T1,C3,M1,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M2_C2_KP6_T1_can_r07,KP6_T1,C2,M2,numeric_wrong,CV,ddof_0,Y
M1_C1_KP6_T2_B_r07,KP6_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP6_T1_B_r07,KP6_T1,C1,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M2_C1_KP6_T1_B_r07,KP6_T1,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M2_C1_KP6_T2_B_r07,KP6_T2,C1,M2,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP6_T2_B_r07,KP6_T2,C1,M3,numeric_wrong,UNMATCHED,unmatched,N
M1_C4_KP6_T2_can_r07,KP6_T2,C4,M1,numeric_wrong,UNMATCHED,unmatched,Y
M2_C1_KP6_T3_B_r07,KP6_T3,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M1_C2_KP6_T3_can_r07,KP6_T3,C2,M1,numeric_wrong,CV,silent_alt:ddof_0,N
M2_C3_KP6_T2_B_r07,KP6_T2,C3,M2,numeric_wrong,UNMATCHED,unmatched,Y
M3_C3_KP6_T1_B_r07,KP6_T1,C3,M3,numeric_wrong,UNMATCHED,no_numeric_detail,Y
M2_C3_KP6_T1_B_r07,KP6_T1,C3,M2,numeric_wrong,UNMATCHED,no_numeric_detail,N
M1_C1_KP1_T1_B_r08,KP1_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M3_C2_KP6_T3_can_r07,KP6_T3,C2,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C3_KP1_T1_B_r08,KP1_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C1_KP1_T2_B_r08,KP1_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
